timestamp,temperature_c,relative_humidity_pct,precipitation
2025-12-13 05:00:00,7.2,100,0.0
2025-12-13 06:00:00,7.1,100,0.0
2025-12-13 07:00:00,7.1,100,0.0
2025-12-13 08:00:00,7.2,100,0.0
2025-12-13 09:00:00,7.4,100,0.0
2025-12-13 10:00:00,7.5,100,0.0
2025-12-13 11:00:00,8.0,97,0.0
2025-12-13 12:00:00,8.7,93,0.0
2025-12-13 13:00:00,9.1,93,0.0
2025-12-13 14:00:00,9.2,92,0.0
2025-12-13 15:00:00,9.5,91,0.0
2025-12-13 16:00:00,9.5,92,0.0
2025-12-13 17:00:00,9.0,95,0.0
2025-12-13 18:00:00,8.5,98,0.0
2025-12-13 19:00:00,8.3,99,0.0
2025-12-13 20:00:00,8.2,100,0.0
2025-12-13 21:00:00,8.1,99,0.0
2025-12-13 22:00:00,8.0,99,0.0
2025-12-13 23:00:00,7.9,99,0.0
2025-12-14 00:00:00,7.9,99,0.0
2025-12-14 01:00:00,7.9,97,0.0
2025-12-14 02:00:00,7.7,97,0.0
2025-12-14 03:00:00,7.7,97,0.0
2025-12-14 04:00:00,7.7,98,0.0
2025-12-14 05:00:00,7.7,98,0.0
2025-12-14 06:00:00,7.8,98,0.0
2025-12-14 07:00:00,7.9,98,0.0
2025-12-14 08:00:00,8.0,98,0.0
2025-12-14 09:00:00,8.1,97,0.0
2025-12-14 10:00:00,8.3,96,0.0
2025-12-14 11:00:00,8.5,96,0.0
2025-12-14 12:00:00,8.7,95,0.0
2025-12-14 13:00:00,8.9,92,0.0
2025-12-14 14:00:00,9.0,92,0.0
2025-12-14 15:00:00,8.8,92,0.0
2025-12-14 16:00:00,8.5,93,0.0
2025-12-14 17:00:00,8.3,95,0.0
2025-12-14 18:00:00,8.3,93,0.0
2025-12-14 19:00:00,8.4,92,0.0
2025-12-14 20:00:00,8.0,91,0.0
2025-12-14 21:00:00,7.5,91,0.0
2025-12-14 22:00:00,7.0,91,0.0
2025-12-14 23:00:00,6.5,92,0.0
2025-12-15 00:00:00,6.0,94,0.0
2025-12-15 01:00:00,5.6,96,0.0
2025-12-15 02:00:00,5.4,97,0.0
2025-12-15 03:00:00,5.4,97,0.0
2025-12-15 04:00:00,5.4,97,0.0
2025-12-15 05:00:00,5.4,96,0.0
2025-12-15 06:00:00,5.4,93,0.0
2025-12-15 07:00:00,5.4,91,0.0
2025-12-15 08:00:00,5.4,89,0.0
2025-12-15 09:00:00,5.3,87,0.0
2025-12-15 10:00:00,5.8,84,0.0
2025-12-15 11:00:00,7.1,80,0.0
2025-12-15 12:00:00,8.9,75,0.0
2025-12-15 13:00:00,10.4,71,0.0
2025-12-15 14:00:00,11.2,70,0.0
2025-12-15 15:00:00,11.7,70,0.0
2025-12-15 16:00:00,11.9,72,0.0
2025-12-15 17:00:00,11.4,76,0.0
2025-12-15 18:00:00,10.6,81,0.0
2025-12-15 19:00:00,10.1,85,0.0
2025-12-15 20:00:00,10.1,86,0.0
2025-12-15 21:00:00,10.4,86,0.0
2025-12-15 22:00:00,10.6,85,0.0
2025-12-15 23:00:00,10.7,84,0.1
2025-12-16 00:00:00,10.7,83,0.1
2025-12-16 01:00:00,10.6,83,0.1
2025-12-16 02:00:00,10.5,83,0.0
2025-12-16 03:00:00,10.3,84,0.0
2025-12-16 04:00:00,10.1,85,0.0
2025-12-16 05:00:00,9.8,86,0.0
2025-12-16 06:00:00,9.4,88,0.0
2025-12-16 07:00:00,9.2,89,0.0
2025-12-16 08:00:00,9.2,89,0.0
2025-12-16 09:00:00,9.3,88,0.0
2025-12-16 10:00:00,9.7,87,0.0
2025-12-16 11:00:00,10.4,85,0.03
2025-12-16 12:00:00,11.3,83,0.05
2025-12-16 13:00:00,11.9,82,0.08
2025-12-16 14:00:00,12.2,81,0.0
2025-12-16 15:00:00,12.2,81,0.0
2025-12-16 16:00:00,12.0,82,0.0
2025-12-16 17:00:00,11.4,85,0.0
2025-12-16 18:00:00,10.4,89,0.0
2025-12-16 19:00:00,9.6,92,0.0
2025-12-16 20:00:00,9.1,93,0.0
2025-12-16 21:00:00,8.8,92,0.0
2025-12-16 22:00:00,8.4,92,0.0
2025-12-16 23:00:00,7.9,92,0.0
2025-12-17 00:00:00,7.5,92,0.0
2025-12-17 01:00:00,6.9,93,0.0
2025-12-17 02:00:00,6.3,94,0.0
2025-12-17 03:00:00,5.5,95,0.0
2025-12-17 04:00:00,4.8,96,0.0
2025-12-17 05:00:00,4.1,97,0.0
2025-12-17 06:00:00,3.4,98,0.0
2025-12-17 07:00:00,2.9,99,0.0
2025-12-17 08:00:00,2.4,100,0.0
2025-12-17 09:00:00,2.0,100,0.0
2025-12-17 10:00:00,2.4,99,0.0
2025-12-17 11:00:00,4.1,93,0.0
2025-12-17 12:00:00,6.5,85,0.0
2025-12-17 13:00:00,8.2,78,0.0
2025-12-17 14:00:00,8.7,75,0.0
2025-12-17 15:00:00,8.5,74,0.0
2025-12-17 16:00:00,8.2,74,0.0
2025-12-17 17:00:00,7.7,77,0.0
2025-12-17 18:00:00,7.0,81,0.0
2025-12-17 19:00:00,6.4,84,0.0
2025-12-17 20:00:00,6.1,85,0.0
2025-12-17 21:00:00,5.9,85,0.0
2025-12-17 22:00:00,5.8,85,0.0
2025-12-17 23:00:00,5.9,85,0.0
